Expression	Value	Location	Type	
who_am_i_value	<struct>	0x200005B8	struct LDC_Value_t	
Startup_LDC_MUX_CONFIG	0x020C	0x0800104A	uint16_t	
Startup_LDC_CONFIG	Error (col 1): Unknown or ambiguous symbol. Startup_LDC_CONFIG			
data	255856477	0x200005E4	uint32_t	
Ndata	22504	0x2000060C	int32_t	
firstCalData	255870528	0x200005FC	uint32_t	
runCalData	255893032	0x20000600	uint32_t	
sdkProximityValue	255855035	0x2000061C	uint32_t	
sdkDetectCnt	325	0x20000620	uint32_t	
sdkClearCnt	0	0x20000628	uint32_t	
ldcErrMSBStatus	0	0x20000673	bool	
positifCompCnt	0	0x2000065A	uint16_t	
negatifCompCnt	0	0x20000658	uint16_t	
sdkStatus	SDK_Status_Clear	0x200001CB	enum <Unnamed 9>	
ldcStatus	'\0' (0x00)	0x20000671	uint8_t	
cpkUartTxBuffer	<union>	0x2000057C	union <Unnamed 4>	
sdkLevel	'.' (0x03)	0x20000675	uint8_t	
valueKalman	0	0x200005E0	uint32_t	
value	255856477	0x200005DC	uint32_t	
is	Error (col 1): Unknown or ambiguous symbol. is			
prxRefValue	255890928	0x20000618	uint32_t	
compFarkTemp	-35893	0x20000630	int32_t	
testKalmans	0.0	0x200005E8	float	
yes2	<array>	0x200001D0	uint32_t[100]	
[0]	255841587	0x200001D0	uint32_t	
[1]	255841817	0x200001D4	uint32_t	
[2]	255841956	0x200001D8	uint32_t	
[3]	255841698	0x200001DC	uint32_t	
[4]	255841654	0x200001E0	uint32_t	
[5]	255841473	0x200001E4	uint32_t	
[6]	255840998	0x200001E8	uint32_t	
[7]	255840711	0x200001EC	uint32_t	
[8]	255840531	0x200001F0	uint32_t	
[9]	255840030	0x200001F4	uint32_t	
[10]	255839790	0x200001F8	uint32_t	
[11]	255839413	0x200001FC	uint32_t	
[12]	255839092	0x20000200	uint32_t	
[13]	255838897	0x20000204	uint32_t	
[14]	255838738	0x20000208	uint32_t	
[15]	255838609	0x2000020C	uint32_t	
[16]	255838547	0x20000210	uint32_t	
[17]	255838430	0x20000214	uint32_t	
[18]	255838616	0x20000218	uint32_t	
[19]	255838517	0x2000021C	uint32_t	
[20]	255838450	0x20000220	uint32_t	
[21]	255840109	0x20000224	uint32_t	
[22]	255839907	0x20000228	uint32_t	
[23]	255839140	0x2000022C	uint32_t	
[24]	255838806	0x20000230	uint32_t	
[25]	255839443	0x20000234	uint32_t	
[26]	255839419	0x20000238	uint32_t	
[27]	255840189	0x2000023C	uint32_t	
[28]	255839679	0x20000240	uint32_t	
[29]	255839023	0x20000244	uint32_t	
[30]	255838178	0x20000248	uint32_t	
[31]	255838031	0x2000024C	uint32_t	
[32]	255838038	0x20000250	uint32_t	
[33]	255839197	0x20000254	uint32_t	
[34]	255839099	0x20000258	uint32_t	
[35]	255838597	0x2000025C	uint32_t	
[36]	255838648	0x20000260	uint32_t	
[37]	255838713	0x20000264	uint32_t	
[38]	255838277	0x20000268	uint32_t	
[39]	255837819	0x2000026C	uint32_t	
[40]	255836918	0x20000270	uint32_t	
[41]	255836356	0x20000274	uint32_t	
[42]	255835739	0x20000278	uint32_t	
[43]	255835242	0x2000027C	uint32_t	
[44]	255835270	0x20000280	uint32_t	
[45]	255834790	0x20000284	uint32_t	
[46]	255835004	0x20000288	uint32_t	
[47]	255835051	0x2000028C	uint32_t	
[48]	255834768	0x20000290	uint32_t	
[49]	255834627	0x20000294	uint32_t	
[50]	255834591	0x20000298	uint32_t	
[51]	255834860	0x2000029C	uint32_t	
[52]	255836136	0x200002A0	uint32_t	
[53]	255836913	0x200002A4	uint32_t	
[54]	255837324	0x200002A8	uint32_t	
[55]	255838038	0x200002AC	uint32_t	
[56]	255838504	0x200002B0	uint32_t	
[57]	255840002	0x200002B4	uint32_t	
[58]	255840675	0x200002B8	uint32_t	
[59]	255840600	0x200002BC	uint32_t	
[60]	255841199	0x200002C0	uint32_t	
[61]	255841257	0x200002C4	uint32_t	
[62]	255841149	0x200002C8	uint32_t	
[63]	255842013	0x200002CC	uint32_t	
[64]	255841965	0x200002D0	uint32_t	
[65]	255841769	0x200002D4	uint32_t	
[66]	255841503	0x200002D8	uint32_t	
[67]	255841375	0x200002DC	uint32_t	
[68]	255841169	0x200002E0	uint32_t	
[69]	255840920	0x200002E4	uint32_t	
[70]	255841418	0x200002E8	uint32_t	
[71]	255842112	0x200002EC	uint32_t	
[72]	255842430	0x200002F0	uint32_t	
[73]	255842802	0x200002F4	uint32_t	
[74]	255842411	0x200002F8	uint32_t	
[75]	255842248	0x200002FC	uint32_t	
[76]	255844132	0x20000300	uint32_t	
[77]	255845157	0x20000304	uint32_t	
[78]	255846595	0x20000308	uint32_t	
[79]	255846522	0x2000030C	uint32_t	
[80]	255846283	0x20000310	uint32_t	
[81]	255846554	0x20000314	uint32_t	
[82]	255846902	0x20000318	uint32_t	
[83]	255846855	0x2000031C	uint32_t	
[84]	255846882	0x20000320	uint32_t	
[85]	255847548	0x20000324	uint32_t	
[86]	255847672	0x20000328	uint32_t	
[87]	255847587	0x2000032C	uint32_t	
[88]	255847971	0x20000330	uint32_t	
[89]	255847661	0x20000334	uint32_t	
[90]	255848039	0x20000338	uint32_t	
[91]	255847814	0x2000033C	uint32_t	
[92]	255848169	0x20000340	uint32_t	
[93]	255847512	0x20000344	uint32_t	
[94]	255847844	0x20000348	uint32_t	
[95]	255847117	0x2000034C	uint32_t	
[96]	255847520	0x20000350	uint32_t	
[97]	255848381	0x20000354	uint32_t	
[98]	255847852	0x20000358	uint32_t	
[99]	255847912	0x2000035C	uint32_t	
